sku;nombre;slug;descripcion;categoria;marca;linea;precio;stock;tags;attr_tipo;attr_espesor;attr_color;attr_textura;attr_medidas
TAB-BLA-EGG-18-AGL;BLANCO;blanco-egger-18-aglo ;Tablero de melamina blanco;Tableros;Egger;;;;blanco,egger,aglomerado;Melamina;18;blanco;lisa;1960x1830
TAB-BLA-EGG-18-MDF;BLANCO;blanco-egger-18-mdf;Tablero de melamina blanco;;Egger;;;;blanco,egger,aglomerado;Melamina;18;blanco;;
TAB-BLA-EGG-15-AGL;BLANCO;blanco-egger-15-aglo;Tablero de melamina blanco;;Egger;;;;blanco,egger,aglomerado;Melamina;15;blanco;;
TAB-BLA-EGG-15-MDF;BLANCO;blanco-egger-15-mdf;Tablero de melamina blanco;;Egger;;;;blanco,egger,aglomerado;Melamina;15;blanco;;
TAB-FPB-EGG-03-MDF;FIBROPLUS BLANCO;fibroplus-Blanco-03-mdf;Fibro plus blanco de 3 mm;;Egger;;;;fibro, blanco, fondo;Melamina;3;blanco;;
TAB-FPB-EGG-05-MDF;FIBROPLUS BLANCO;fibroplus-Blanco-05-mdf;Fibro plus blanco de 5.5 mm;;Egger;;;;fibro, blanco, fondo;Melamina;5,5;blanco;;
TAB-BLA-FAP-18-AGL;BLANCO;blanco-faplac-18-aglo;Tablero de melamina blanco 18mm;;FAPLAC;;;;blanco,faplac,aglomerado;Melamina;18;;;
TAB-BLA-FAP-18-MDF;BLANCO;blanco-faplac-18-mdf;Tablero de melamina blanco 18mm;;FAPLAC;;;;blanco,faplac,mdfmerado;Melamina;18;;;
TAB-BLA-SAD-18-AGL;BLANCO;blanco-sadepan-18-aglo;Tablero de melamina blanco sobre aglo 18mm;;SADEPAN;;;;blanco, sadepan, aglomerado;Melamina;18;;;
TAB-MDF-EGG-9-MDF;FIBROFACIL;Fibrofacil-egger-09-mdf;Fibrofacil 09 mm;;Egger;;;;fibrofacil, mdf, crudo;Melamina;9;;;
TAB-MDF-EGG-12-MDF;FIBROFACIL;Fibrofacil-egger-12-mdf;Fibrofacil 12 mm;;Egger;;;;fibrofacil, mdf, crudo;Melamina;12;;;
TAB-MDF-EGG-15-MDF;FIBROFACIL;Fibrofacil-egger-15-mdf;Fibrofacil 15 mm;;Egger;;;;fibrofacil, mdf, crudo;Melamina;15;;;
