sku;nombre;slug;descripcion;categoria;marca;linea;precio;stock;tags;attr_tipo;attr_espesor;attr_color;attr_textura;attr_medidas
TAB-BLA-EGG-18-AGL;Blanco;blanco-egger-18-aglo ;Tablero de melamina blanco;Tableros;Egger;;;;blanco,egger,aglomerado;Melamina;18;blanco;lisa;1960x1830
TAB-BLA-EGG-18-MDF;Blanco;blanco-egger-18-mdf;Tablero de melamina blanco;;Egger;;;;blanco,egger,aglomerado;;;;;
TAB-BLA-EGG-15-AGL;Blanco;blanco-egger-15-aglo;Tablero de melamina blanco;;Egger;;;;;;;;;
TAB-BLA-EGG-15-MDF;Blanco;blanco-egger-15-mdf;Tablero de melamina blanco;;Egger;;;;;;;;;
TAB-FPB-EGG-03-MDF;Fibro Plus Blanco;fibroplus-Blanco-03-mdf;Fibro plus blanco de 3 mm;;Egger;;;;;;;;;
TAB-FPB-EGG-05-MDF;Fibro Plus Blanco;fibroplus-Blanco-05-mdf;Fibro plus blanco de 5.5 mm;;Egger;;;;;;;;;
TAB-BLA-FAP-18-AGL;Blanco;blanco-faplac-18-aglo;Tablero de melamina blanco 18mm;;FAPLAC;;;;;;;;;
TAB-BLA-FAP-18-MDF;Blanco;blanco-faplac-18-mdf;Tablero de melamina blanco 18mm;;FAPLAC;;;;;;;;;
TAB-BLA-SAD-18-AGL;Blanco;blanco-sadepan-18-aglo;Tablero de melamina blanco sobre aglo 18mm;;SADEPAN;;;;;;;;;
TAB-MDF-EGG-9-MDF;Fibro Fácil;Fibrofacil-egger-09-mdf;Fibrofacil 09 mm;;Egger;;;;;;;;;
TAB-MDF-EGG-12-MDF;Fibro Fácil;Fibrofacil-egger-12-mdf;Fibrofacil 12 mm;;Egger;;;;;;;;;
TAB-MDF-EGG-15-MDF;Fibro Fácil;Fibrofacil-egger-15-mdf;Fibrofacil 15 mm;;Egger;;;;;;;;;
TAB-MDF-EGG-18-MDF;Fibro Fácil;Fibrofacil-egger-18-mdf;Fibrofacil 18 mm;;Egger;;;;;;;;;
TAB-GUI-NOV-09-MDF;Guillermina;guillermina-nova-09-mdf;Guillermina nova 09 mm de espesor;;Nova;;;;;;;;;
TAB-GUI-NOV-12-MDF;Guillermina;guillermina-nova-12-mdf;Guillermina nova 12 mm de espesor;;Nova;;;;;;;;;
TAB-GUI-NOV-15-MDF;Guillermina;guillermina-nova-15-mdf;Guillermina nova 15 mm de espesor;;Nova;;;;;;;;;
TAB-GUI-NOV-18-MDF;Guillermina;guillermina-nova-18-mdf;Guillermina nova 18 mm de espesor;;Nova;;;;;;;;;
TAB-GUI-NOV-22-MDF;Guillermina;guillermina-nova-22-mdf;Guillermina nova 22 mm de espesor;;Nova;;;;;;;;;
TAB-GUI-NOV-25-MDF;Guillermina;guillermina-nova-25-mdf;Guillermina nova 25 mm de espesor;;Nova;;;;;;;;;
TAB-NEG-FAP-18-AGL;Negro ;negro-faplac-18-aglo;Tablero de melamina negro de 18 mm;;FAPLAC;;;;;;;;;
TAB-NEG-FAP-18-mdf;Negro ;negro-faplac-18-mdf;Tablero de melamina negro  sobre mdf de 18 mm;;FAPLAC;;;;;;;;;
TAB-BLP-FAP-18-AGL;Blanco Premium;blancop-faplac-18-aglo;Tablero blanco premium 18mm sobre aglo;;FAPLAC;PREMIUM;;;;;;;;
TAB-BLP-FAP-18-MDF;Blanco Premium;blancop-faplac-18-mdf;Tablero blanco premium 18mm sobre mdf;;FAPLAC;PREMIUN;;;;;;;;
TAB-BLT-FAP-18-MDF;BLANCO TUNDRA;blanco;Tablero blanco ;Textura;FAPLAC;BLANCO;;;;;;;;
TAB-BLA-FAP-18-MDF;BLANCO;blanco-faplac-18-mdf;Tablero blanco ;Textura;FAPLAC;BLANCO;;;;;;;;
TAB-BLN-FAP-18-MDF;BLANCO NATURE;blanconature-faplac-18-mdf;Tablero blanco Linea Nature;nature;FAPLAC;NATURE;;;;;;;;
TAB-BLL-FAP-18-MDF;LINO BLANCO;linoblanco-faplac-18-mdf;Tablero blanco  Linea Hilados;Textura;FAPLAC;HILADOS;;;;;;;;
TAB-ROC-FAP-18-MDF;ROJO;rojoclasico-faplac-18-mdf;Tablero Rojo Clasico;Textura;FAPLAC;CLASICOS;;;;;;;;
TAB-CEC-FAP-18-MDF;CENIZA;cenizaclasico-faplac-18-mdf;Tablero Ceniza Clasico;Textura;FAPLAC;CLASICOS;;;;;;;;
TAB-GRC-FAP-18-MDF;GRAFITO;grafitoclasico-faplac-18-mdf;Tablero Grafito Clasico;Textura;FAPLAC;CLASICOS;;;;;;;;
TAB-GHC-FAP-18-MDF;GRIS HUMO;gris humoclasico-faplac-18-mdf;Tablero Gris Humo Clasico;Textura;FAPLAC;CLASICOS;;;;;;;;
TAB-ALC-FAP-18-MDF;AZUL LAGO;azul lagoclasico-faplac-18-mdf;Tablero Azul Lago Clasico;Textura;FAPLAC;CLASICOS;;;;;;;;
TAB-ALC-FAP-18-MDF;ALMENDRA;almendraclasico-faplac-18-mdf;Tablero Almendra Clasico;Textura;FAPLAC;CLASICOS;;;;;;;;
TAB-ACC-FAP-18-MDF;ALUMINIO;aluminioclasico-faplac-18-mdf;Tablero Aluminio Clasico;Textura;FAPLAC;CLASICOS;;;;;;;;
TAB-LIC-FAP-18-MDF;LITIO;litioclasico-faplac-18-mdf;Tablero Litio Clasico;Textura;FAPLAC;CLASICOS;;;;;;;;
TAB-NPC-FAP-18-MDF;NEGRO PROFUNDO;negro profundoclasico-faplac-18-mdf;Tablero Negro Profundo Clasico;Textura;FAPLAC;CLASICOS;;;;;;;;
TAB-ENC-FAP-18-MDF;EBANO NEGRO;;;Woodtext;FAPLAC;Maderas Clasicas;;;;;;;;
TAB-RAC-FAP-18-MDF;ROBLE AMERICANO;;;Supermate;FAPLAC;Maderas Clasicas;;;;;;;;
TAB-RAC-FAP-18-AGL;ROBLE AMERICANO;;;Nature;FAPLAC;Maderas Clasicas;;;;;;;;
TAB-RDC-FAP-18-MDF;ROBLE DAKAR;;;Woodtext;FAPLAC;Maderas Clasicas;;;;;;;;
TAB-RDW-FAP-18-MDF;ROBLE DAKAR;;;Nature;FAPLAC;Maderas Clasicas;;;;;;;;
TAB-HAY-FAP-18-MDF;HAYA;;;Woodtext;FAPLAC;Maderas Clasicas;;;;;;;;
TAB-CED-FAP-18-MDF;CEDRO;;;Woodtext;FAPLAC;Maderas Clasicas;;;;;;;;
TAB-CEN-FAP-18-MDF;CEDRO;;;Nature;FAPLAC;Maderas Clasicas;;;;;;;;
TAB-TTC-FAP-18-MDF;TANGANICA TABACO;;;Woodtext;FAPLAC;Maderas Clasicas;;;;;;;;
TAB-PAR-FAP-18-MDF;PARAISO;;;Nature;FAPLAC;Mesopotamia;;;;;;;;
TAB-KIR-FAP-18-MDF;KIRI;;;Bark;FAPLAC;Mesopotamia;;;;;;;;
TAB-JAD-FAP-18-MDF;JADE;;;Supermate;FAPLAC;Mesopotamia;;;;;;;;
TAB-AMA-FAP-18-MDF;AMATISTA;;;Supermate;FAPLAC;Mesopotamia;;;;;;;;
TAB-GBM-FAP-18-MDF;GRIS BASALTO;;;Supermate;FAPLAC;Mesopotamia;;;;;;;;
TAB-GCM-FAP-18-MDF;GRIS CALIZA;;;Supermate;FAPLAC;Mesopotamia;;;;;;;;
TAB-GTM-FAP-18-MDF;GRIS TAPIR;;;Supermate;FAPLAC;Mesopotamia;;;;;;;;
TAB-GAU-FAP-18-MDF;GAUDI;;;Nature;FAPLAC;Nature;;;;;;;;
TAB-NMN-FAP-18-MDF;NOCCE MILANO;;;Nature;FAPLAC;Nature;;;;;;;;
TAB-CMN-FAP-18-MDF;CARVALHO MEZZO;;;Nature;FAPLAC;Nature;;;;;;;;
TAB-TEN-FAP-18-MDF;TERRARUM;;;Nature;FAPLAC;Nature;;;;;;;;
TAB-NTN-FAP-18-MDF;NOGAL TERRACOTA;;;Nature;FAPLAC;Nature;;;;;;;;
TAB-TAN-FAP-18-MDF;TEKA ARTICO;;;Nature;FAPLAC;Nature;;;;;;;;
TAB-LCN-FAP-18-MDF;LINOSA CINZA;;;Nature;FAPLAC;Nature;;;;;;;;
TAB-CAN-FAP-18-MDF;CAJU;;;Nature;FAPLAC;Nature;;;;;;;;
TAB-MBN-FAP-18-MDF;MONT BLANC;;;Nature;FAPLAC;Nature;;;;;;;;
TAB-VEN-FAP-18-MDF;VENEZIA;;;Nature;FAPLAC;Nature;;;;;;;;
TAB-CAN-FAP-18-MDF;CARVALHO ASERRADO;;;Nature;FAPLAC;Nature;;;;;;;;
TAB-SAH-FAP-18-MDF;SEDA AZZURRA;;;Hilados;FAPLAC;Hilados;;;;;;;;
TAB-SGH-FAP-18-MDF;SEDA GIORNO;;;Hilados;FAPLAC;Hilados;;;;;;;;
TAB-SNH-FAP-18-MDF;SEDA NOTTE;;;Hilados;FAPLAC;Hilados;;;;;;;;
TAB-LTH-FAP-18-MDF;LINO TERRA;;;Hilados;FAPLAC;Hilados;;;;;;;;
TAB-LCH-FAP-18-MDF;LINO CHIARO;;;Hilados;FAPLAC;Hilados;;;;;;;;
TAB-LNH-FAP-18-MDF;LINO NEGRO;;;Hilados;FAPLAC;Hilados;;;;;;;;
